name,image,category,brand,images,whatsapp_text,badge
Datejust 31mm Yellow Gold Steel Diamond Bezel Champagne Dial Diamond Numerals,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385702_2782_0_jpg_ff7b46b0-61ba-4b2b-b4fd-468981e88b70.jpg?v=1777285981,watches,rolex,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385702_2782_0_jpg_ff7b46b0-61ba-4b2b-b4fd-468981e88b70.jpg?v=1777285981|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385702_1707_1_jpg_127445ca-920b-47c7-8f0a-d660dcfcb559.jpg?v=1777285981|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385702_2134_3_jpg_9d76a983-3726-43b6-a00f-4f20da471268.jpg?v=1777285981|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385702_3667_6_jpg_fd44096c-ca07-46b7-92a8-877fe5c7bf56.jpg?v=1777285981|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385702_4369_8_jpg_de9fd8d4-6314-4193-a13c-f60723066792.jpg?v=1777285982|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385702_4562_7_jpg_0896e3fc-8779-443b-9828-cd0e51e3415b.jpg?v=1777285980|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385702_6575_5_jpg_f7b4959d-b67f-402c-8dcb-a386f20896d3.jpg?v=1777285981|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385702_803_2_jpg_a85151d8-acef-44e5-b46f-7272b6cc5530.jpg?v=1777285981,Hi I want Datejust 31mm Yellow Gold Steel Diamond Bezel Champagne Dial Diamond Numerals,
DATEJUST 41 TWO-TONE YELLOW DIAL DIAMOND NUMERALS,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/c681873a-091c-41fa-900d-092aceb2cb26_0f8d8d34-bcb9-49d0-9673-95a7a40233a2.jpg?v=1777192974,watches,rolex,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/c681873a-091c-41fa-900d-092aceb2cb26_0f8d8d34-bcb9-49d0-9673-95a7a40233a2.jpg?v=1777192974|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13267211054054193_182f801b-b441-4274-b750-42e04654f048.jpg?v=1777192973|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13267211055161981_e2073ce5-00bf-4c60-9c53-294b4d359edc.jpg?v=1777192973|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13267211056661739_2ec6c7bb-e830-4d54-ada5-1f78c6d328e5.jpg?v=1777192973|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13267211058173599_9ed90db8-8e58-478b-9caa-b5c79d612646.jpg?v=1777192974|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13267211059260896_8ecf55b0-00cb-4a4f-9690-de42e2def850.jpg?v=1777192973|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13267211060564979_7603e75c-e78c-4480-862e-bf0988556c76.jpg?v=1777192973,Hi I want DATEJUST 41 TWO-TONE YELLOW DIAL DIAMOND NUMERALS,
EXPLORER STAINLESS STEEL OYSTER BRACELET,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2522669622970_4cf990ba80a81fd0b148ac038c8eb41f_6c4ccfed-2d45-408b-bce7-4586fcf77cd3.jpg?v=1778148313,watches,rolex,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2522669622970_4cf990ba80a81fd0b148ac038c8eb41f_6c4ccfed-2d45-408b-bce7-4586fcf77cd3.jpg?v=1778148313|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2522669593112_ea5ca313e4c0c54ba59e19ab7cd0ff29_b3a058ae-f6e4-4033-bc57-20dbfcc1dd5e.jpg?v=1778148313|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2522669581039_27b45d37537d4fb5533b4dc254e3fc2f_8c3b5050-4712-452e-82b4-c0623d36ad82.jpg?v=1778148313|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2522668812800_482fce1bc8433403ca89e7ff0f5b2801_91d2d40d-f178-4070-bbdc-a567eccda54c.jpg?v=1778148313|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2522669544498_37af89ae4d324219898c55b9164537f3_57dd1efe-463f-48b4-92f1-824fe2d47006.jpg?v=1778148313|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2522669558711_f2e4ef0718d25a14936c31e291762317_3bf6954e-9ced-4adb-9ef7-e58317df9fb9.jpg?v=1778148313|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2522669615439_90f11842e6c398fae6c09614935162b0_cff5fba6-e1c3-47a5-8391-594c17f90201.jpg?v=1778148313|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2522669641228_d81fee08dc70a78536aaa1c12345802e_c832906d-2925-41cc-ad9b-2294eae6646e.jpg?v=1778148313,Hi I want EXPLORER STAINLESS STEEL OYSTER BRACELET,
DATEJUST 41MM WIMBLEDON DIAL JUBILEE BRACELET,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/c46033f9-c06e-4eaf-b02d-90ab46f8fdca_e63c51a4-46af-44ae-8b6d-418a67ea0183.jpg?v=1778148330,watches,rolex,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/c46033f9-c06e-4eaf-b02d-90ab46f8fdca_e63c51a4-46af-44ae-8b6d-418a67ea0183.jpg?v=1778148330|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13266695240637880_2fcb9c80-1b08-4b50-a1a7-9711b9528024.jpg?v=1778148330|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13266695237933914_80e95af2-97f4-4166-b5e6-7254eff02b52.jpg?v=1778148330|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13266695243734968_8e073dd7-4a05-4bed-ac42-fcef9bf23697.jpg?v=1778148330|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13266695239229946_e92f3b5f-b6e2-4470-9b8f-edfe268f4cde.jpg?v=1778148330|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13266695236740741_1a023d08-3258-4220-8937-0d9247e06e2c.jpg?v=1778148330|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13266695242047504_381a40e6-6a79-4a01-8323-fba67550f290.jpg?v=1778148330|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13266695245333497_fd34bd9e-9d22-45bf-bd49-07425f180310.jpg?v=1778148330|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13266695246836009_e9887994-c3c5-4e6a-87ea-6437bdf2ab90.jpg?v=1778148330,Hi I want DATEJUST 41MM WIMBLEDON DIAL JUBILEE BRACELET,
ROLEX BOX,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20211120101927_5036d9a0-355e-4b33-9407-1d35adcc8c6d.jpg?v=1776909504,watches,rolex,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/WeChatImage_20211120101927_5036d9a0-355e-4b33-9407-1d35adcc8c6d.jpg?v=1776909504,Hi I want ROLEX BOX,
Datejust 31mm Yellow Gold Steel Champagne Dial,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385485_1143_5.jpg_1_d7a893a5-8a04-474d-9831-562b50000199.jpg?v=1777285979,watches,rolex,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385485_1143_5.jpg_1_d7a893a5-8a04-474d-9831-562b50000199.jpg?v=1777285979|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385485_1215_2.jpg_1_2f7074d0-42a7-4e2a-bd05-68756600d70e.jpg?v=1777285979|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385485_1942_8.jpg_1_8b31839a-f974-4dd8-9439-f99039ee5f2c.jpg?v=1777285979|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385485_4644_7.jpg_1_a32b7730-4dad-4545-97cc-acc0b173f445.jpg?v=1777285979|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385485_5075_3.jpg_1_95cddb17-0124-4bf2-94fa-80556a8a0b4b.jpg?v=1777285981|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385485_8122_1.jpg_1_4f238abe-c57f-4a29-a72c-325104b63735.jpg?v=1777285979|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385485_8952_4.jpg_1_bb9688c8-ea24-46a9-8306-4889dc944add.jpg?v=1777285979|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/img_fd650176_20241217_i1734385485_9087_6.jpg_1_07e7907c-3e6b-4dc3-822b-fd81aef60688.jpg?v=1777285979,Hi I want Datejust 31mm Yellow Gold Steel Champagne Dial,
EXPLORER GOLD CASE 41MM,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13276013826689304_38ec2dde-2f1f-4b24-bf2f-f45d6266c271.jpg?v=1776909372,watches,rolex,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13276013826689304_38ec2dde-2f1f-4b24-bf2f-f45d6266c271.jpg?v=1776909372|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13276013825711017_7364baec-b2fa-4c8a-8e60-961185428ce1.jpg?v=1776909372|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13276013829577517_df3846ae-a059-4a30-ba0f-eedbd1be27e3.jpg?v=1776909372|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13276013827677847_4b21e814-689c-4253-a096-5e0f9374ecc0.jpg?v=1776909372|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13276013828578979_9ca40286-0453-4491-82cd-030994ae78d6.jpg?v=1776909372|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13276013830690337_20baaf8f-010c-4629-b229-7cf6d32d8cb3.jpg?v=1776909372|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13276013831585682_35281889-f25e-43d5-853d-65c92d79c059.jpg?v=1776909372|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13276013832490473_c95d7f40-67bd-4062-99f3-5e4cad1f0519.jpg?v=1776909373,Hi I want EXPLORER GOLD CASE 41MM,
OYSTER PERPETUAL STAINLESS STEEL SKY BLUE DIAL,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2573111389426_42470d8fb8a0f5f2b521ca5f36f295f0_9658fd3d-6e2a-43a1-b06c-19103fb53dc8.jpg?v=1776909815,watches,rolex,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2573111389426_42470d8fb8a0f5f2b521ca5f36f295f0_9658fd3d-6e2a-43a1-b06c-19103fb53dc8.jpg?v=1776909815|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2573111326029_07a2ba181d57e3a88e7ca271153e2376_8ef7e954-b339-4b34-bd67-9097a014b89a.jpg?v=1776909815|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2573111513620_93787fbea153b9fc473cb1005e028fcd_6807be74-2e98-4f9e-9d56-b94c5d39071d.jpg?v=1776909815|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2573111696558_18f6e59e1087f9bf9550ff6db5c8b971_c96e4b97-3d03-4802-a172-74de137b2f76.jpg?v=1776909815|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2573111760122_e6924dc2c0da0c919102e5fb5049af30_acc02492-a6ba-4ce2-967e-49fbde32f5fb.jpg?v=1776909815|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2573111202466_0b8b1c8af833247f53cf746a73bff70b_e744bc4c-3166-4b7d-a7c4-0837fe970b7e.jpg?v=1776909815|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2573111264585_3ab4cf48e5d5f82948560342b8c881a6_52fd8786-07ea-4708-a49f-52e595b71f52.jpg?v=1776909815|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2573111454808_ae71daaf258e0b07f8c2bf83fb9bdb84_038de4f6-34a4-4ea6-ab26-7b0fe35a7347.jpg?v=1776909815|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2573111570167_3e902ae1d2c154abde7c1c1088f3d013_08d83fc1-ca68-4f3f-935f-8caa0852349b.jpg?v=1776909815|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/z2573111634573_efe3c02b1e3ff3bb4080651b9d223074_ec1ccc1d-5960-436d-a3b4-97f7cf9cd31b.jpg?v=1776909815,Hi I want OYSTER PERPETUAL STAINLESS STEEL SKY BLUE DIAL,
DATEJUST 28MM GOLD CASE,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13307623418384017_6d2ba7c7-e196-445d-a56b-5ddc941d027a.jpg?v=1777192956,watches,rolex,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13307623418384017_6d2ba7c7-e196-445d-a56b-5ddc941d027a.jpg?v=1777192956|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13307623419984367_8dde4e54-652b-434f-869a-944d5c8a2f14.jpg?v=1777192956|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13307623421256595_7c7a6060-db16-43c6-ada2-3f4865d6b4e8.jpg?v=1777192956|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13307623422579064_301b4ca1-7177-4efe-8855-61acb4fbccff.jpg?v=1777192956|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13307623423884596_c281063f-e351-4c81-962e-6845e78b58b1.jpg?v=1777192956|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13307623425270129_b8a91145-27e9-487a-adc9-ef123701c6b5.jpg?v=1777192956|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13307623426689848_cb3718c1-038a-493d-8a8a-79dfd8e2d666.jpg?v=1777192958,Hi I want DATEJUST 28MM GOLD CASE,
DATEJUST 28 TWO-TONE PINK GOLD DIAMOND BEZEL,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13307623129643612_f48fb42d-a650-4ab9-90b8-fde7d144c91f.jpg?v=1776909542,watches,rolex,https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13307623129643612_f48fb42d-a650-4ab9-90b8-fde7d144c91f.jpg?v=1776909542|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13307623141838489_6ec4a8c6-5984-42d6-a0a6-b2313fd62ead.jpg?v=1776909542|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13307623143172091_1e25474e-bbdb-42e8-9495-ca6bb5951425.jpg?v=1776909542|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13307623191423058_134855d1-faae-4476-8a63-057eb7b81c2b.jpg?v=1776909542|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13307623219825588_0cb109d2-bce2-491a-9c60-701d7588d6c6.jpg?v=1776909542|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13307623221248632_e6343aee-59f6-484c-9372-d1a24a662496.jpg?v=1776909542|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13307623222458656_33eee770-e909-4d1d-a8f3-f82c475618f4.jpg?v=1776909542|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13307623223772748_591836ec-41d8-4c81-b41b-801802a3d9f2.jpg?v=1776909542|https://cdn.shopify.com/s/files/1/0912/9351/6071/files/13307623225073839_d77f40fb-e340-46cf-b854-da7983ab9535.jpg?v=1776909542,Hi I want DATEJUST 28 TWO-TONE PINK GOLD DIAMOND BEZEL,
